Cutter,Titulo,Descricao,Ano,Autores,Paginas,ISBN,Idioma,Src,bandeja,coluna,estante 
M835r,As relações internacionais da América Latina, Este livro aborda a história contemporânea das Relações Internacionais da América Latina. Uma história na qual o conhecimento das relações exteriores da região parte do estudo das variáveis políticas de cada país., 2010," Moreira, Luiz Felipe Viel,  Luiz Felipe Viel e André Luiz Reis da Silva", 383, 978-85-3263-996-7, Português,http://arquivos.biblioceeteps.com.br/d/23662.jpg?v=201419050307&w=320,4,3,1
M838r,As relações internacionais da América Latina, Este livro aborda a história contemporânea das Relações Internacionais da América Latina. Uma história na qual o conhecimento das relações exteriores da região parte do estudo das variáveis políticas de cada país., 2010," Moreira, Luiz Felipe Viel,  Luiz Felipe Viel e André Luiz Reis da Silva", 383, 978-85-3263-996-7, Português,http://arquivos.biblioceeteps.com.br/d/23662.jpg?v=201419050307&w=320,4,3,1
R696g,Guerra e política nas relações internacionais," 'Guerra e política nas relações internacionais' busca apresentar uma abordagem libertária das relações internacionais, escancarando o risco das batalhas e apresentando-se destemido, como um parresiasta, diante das institucionalidades e normativas, para reavivar as invenções na democracia que ultrapassam a moderada condição estipulada pelos procedimentos. Thiago Rodrigues acompanha Foucault sem ser discípulo, problematiza verdades sem pretender ser um dirigente intelectual, aparta-se do consenso de maioria como uma minoria potente.", 2010," Rodrigues, Thiago e  Thiago", 476, 978-85-2830-412-1, Português,http://arquivos.biblioceeteps.com.br/d/23657.jpg?v=201406080127&w=320,4,3,1
S162tr,Teoria das relações internacionais," As Relações Internacionais' possuem um método de análise complexo, que acaba por determinar seus limites e especificidades, o que necessariamente passa por uma disciplina - a Teoria das Relações Internacionais. Esta constituição metodológica acaba determinando uma produção de conhecimento sin-gular e recente, onde o sujeito que conhece acaba por estabelecer uma relação determinada e específica com o objeto a ser conhecido, qual seja este último a realidade internacional. A obra 'Teoria das Relações Internacionais' busca analisar metodologicamente a construção do conhecimento teórico em Relações Internacionais no século XX ao mesmo tempo em que procura analisar a realidade internacional e seus fenômenos passados e mais recentes, tais como as guerras, o terrorismo, as Organizações Internacionais, a ascendência das ONGs e a natureza humana. Para tanto, a obra apoia-se em inserções em áreas como a História, o Direito Internacional, a Ciência Política e a Filosofia, caracterizando a interdisciplinaridade necessária para o entendimento de um único objeto, o Mundo atual.", 2011, Eduardo Saldanha, 344,,,http://arquivos.biblioceeteps.com.br/d/23693.jpg?v=201802050315&w=320,4,3,1
T328,Terrorismo e Relações Internacionais:," Conteúdo abordado neste livro:- Parte I: A guerra antiterror e a reorganização do sistema internacional no pós-Guerra Fria;- Parte II: Mecanismos de combate ao terrorismo;- Parte III: O terrorismo e suas implicações para o Direito internacional e para os direitos humanos;- Parte IV: Terrorismo, cultura, religião e mídia.", 2010, Mônica Herz e Arthur Bernardes do Amaral, 376, 978-85-1503-742-1, Português,http://arquivos.biblioceeteps.com.br/d/29980.jpg?v=201416060150&w=320,4,3,1
M198m,O mundo contemporâneo," Um estudo sobre o mundo da política internacional contemporânea. Situado na fronteira imprecisa entre a Geografia, a História e a Sociologia, procura auxiliar professores e estudantes que buscam reconstruir os sentidos e significados mundiais das últimas cinco décadas.", 1996, Demétrio Magnoli , 224, 85-1601-577-7, Português,http://arquivos.biblioceeteps.com.br/d/22582.jpg?v=201429080300&w=320,4,3,1
M434u,La Unesco y La Idea de Humanidad," Este livro constitui de uma seleção dos mais importantes discursos do diretor geral da UNESCO, Sr. Koichiro Matsuura, desde 1999 até 2004. Seu propósito é apresentar as orientações que guiam a organização, o pensamento de algumas missões e a analise de alguns dos mais sérios problemas do mundo hoje.", 2004, Koichiro Matsuura, 604, 85-7652-020-6, Português,http://arquivos.biblioceeteps.com.br/d/14386.jpg?v=201417090358&w=320,4,3,1
L954c,Cerimonial e Protocolo," Organizar eventos exige atenção permanente aos detalhes. Este livro é um guia voltado a quem, por responsabilidade profissional ou vocação pessoal, se vê diante dessa tarefa sempre trabalhosa, mas extremamente compensadora quando tudo transcorre conforme esperado. Descreve regras básicas do Cerimonial e Protocolo, como a hierarquia dos convidados em função do cargo que ocupam, e explica os diversos tipos de eventos, os trajes indicados para cada ocasião, as formas de tratamento adequadas etc. São informações extremamente úteis para a organização de palestras, congressos, recepção a visitantes estrangeiros e também de cerimônias festivas, como formaturas ou casamentos.", 2008," Lukower, Ana", 123,, Português,http://arquivos.biblioceeteps.com.br/d/23866.jpg?v=201405050352&w=320,4,3,1
C419i,Inserção internacional,, 2008," Cervo, Amado Luiz", 297,,,,4,3,1
O48p,Política Externa Brasileira," O objetivo desta obra é disponibilizar aos leitores uma visão sequencial e analítica dos pressupostos políticos que fornecem a base do processo de inserção internacional brasileira, identificando inflexões ou mudanças significativas ocorridas nos padrões de relacionamento externo do País. Os capítulos dividem-se em Conceito de Política Externa, De Rio Branco à Segunda Guerra Mundial, Do Contexto Sub-regional à Constituição do Sistema Interamericano, A Operação Panamericana e a Política Externa Independente, A Política Externa nos Governos Militares, A Universalização da Política Externa Brasileira, A Política Externa na Nova República, e a Política Externa no Pós-guerra Fria. Ao final da obra, anexo apresenta lista de Ministros das Relações Exteriores brasileiros por mandatos presidenciais.", 2005, Henrique Altemani, 291, 978-85-0205-192-8, Português,http://arquivos.biblioceeteps.com.br/d/29606.jpg?v=201413060858&w=320,4,3,1
P784d,A democracia Intolerante,, 2002, Pedro Estevam da Rocha Pomar, 207, 85-8672-641-9, Português,http://arquivos.biblioceeteps.com.br/d/1111.jpg?v=200705101018&w=320,4,3,1
C397,Perspectivas do Setor de Habitação," Nesta obra, ele aborda o crescimento no setor da construção e explica em linhas gerais o que constitui este ramo.", 2009, Centro de Integração Empresa-escola, 57, 978-85-6370-400-9, Português,,4,3,1
C967i,Introdução à economia," O mercado de trabalho, a despeito da retração nos níveis de emprego em muitas áreas, vem apresentando nos últimos anos necessidades crescentes de profissionais de nível técnico.Ao propiciar a formação desses profissionais, no que se relaciona com o conhecimento econômico, este livro pretende contribuir para atender essas demandas do mercado, uma vez que sua proposta é servir a estudantes, professores e a outros segmentos da população que necessitem de material de apoio e institucional sobre os principais tópicos do estudo inicial da Economia, de forma didática e em linguagem de fácil compreensão.O conteúdo do livro apresenta os principais conceitos econômicos, de forma objetiva e pratica, oferecendo ao leitor uma abordagem que lhe permita compreender as atividades econômicas de produção e consumo, as relações de troca e os indicadores da atividade econômica como um todo. A Micro e a Macro economia, assim como os aspectos focalizados, são apresentadas de forma a proporcionar o entendimento da estrutura na qual operam as empresas e demais organizações econômicas.Os seguintes tópicos básicos são abordados, entre outros: - Visão do ambiente que se desenvolvem as atividades de produção, consumo e troca;- Classificação dos mercados;- Fundamentos de análise de oferta e procura;- A macroeconomia;- Demanda e oferta e procura;- Comércio internacional.", 2003, Sylvia R. Culhari, 94, 85-8573-467-1, Português,http://arquivos.biblioceeteps.com.br/d/2422.jpg?v=200724090830&w=320,4,3,1
D814f,Freakonomics," Nesse fascinante best-seller, os autores estudam a rotina e os enigmas da vida real - da trapaça à criminalidade, dos esportes à criação dos filhos - com conclusões que viram de cabeça para baixo o senso comum, geralmente usando dados aparentemente inofensivos e fazendo perguntas simples nunca feitas. Daí surge o novo campo de estudo apresentado neste livro: Freakonomics. O que liga essas histórias é a crença de que o mundo moderno, aparentemente confuso, complicado e enganoso, não é impenetrável nem indecifrável. Na verdade, quando fazemos as perguntas certas, o mundo é ainda mais interessante do que supomos. É preciso, apenas, uma visão nova. Steven Levitt, por meio de um raciocínio incrivelmente inteligente e objetivo, mostra como é possível ver as coisas de maneira clara nessa barafunda. Os leitores vão tirar deste livro enigmas e histórias para entreter interlocutores em muitas e muitas festas, mas Freakonomics traz mais que isso: ele redefine a maneira como encaramos o mundo.", 2005, Stephen J. Dubner, 254, 85-3521-504-2, Português,http://arquivos.biblioceeteps.com.br/d/90116.jpg?v=201616051145&w=320,4,3,1
G635e,Economia Aplicada," A economia é uma ciência complexa mas fundamental para a compreensão do ambiente onde as instituições privadas e governamentais atuam. Este livro facilita este entendimento, oferecendo ao leitor um conjunto de conceitos econômicos úteis e suas interações. Como o tema é muito vasto os autores escolheram enfocar aquilo que consideram realmente essencial.", 2010," Antonio Carlos Pôrto Gonçalves, Robson Ribeiro Gonçalves, Ruy Santacruz e Virene Roxo Matesco", 152, 978-85-2250-791-7, Português,http://arquivos.biblioceeteps.com.br/d/4978.jpg?v=201315020858&w=320,4,3,1
M278i,Introdução à economia," O mercado de trabalho, a despeito da retração nos níveis de emprego em muitas áreas, vem apresentando nos últimos anos necessidades crescentes de profissionais de nível técnico.Ao propiciar a formação desses profissionais, no que se relaciona com o conhecimento econômico, este livro pretende contribuir para atender essas demandas do mercado, uma vez que sua proposta é servir a estudantes, professores e a outros segmentos da população que necessitem de material de apoio e institucional sobre os principais tópicos do estudo inicial da Economia, de forma didática e em linguagem de fácil compreensão.O conteúdo do livro apresenta os principais conceitos econômicos, de forma objetiva e pratica, oferecendo ao leitor uma abordagem que lhe permita compreender as atividades econômicas de produção e consumo, as relações de troca e os indicadores da atividade econômica como um todo. A Micro e a Macro economia, assim como os aspectos focalizados, são apresentadas de forma a proporcionar o entendimento da estrutura na qual operam as empresas e demais organizações econômicas.Os seguintes tópicos básicos são abordados, entre outros: - Visão do ambiente que se desenvolvem as atividades de produção, consumo e troca;- Classificação dos mercados;- Fundamentos de análise de oferta e procura;- A macroeconomia;- Demanda e oferta e procura;- Comércio internacional.", 2003, Sylvia R. Culhari, 94, 85-8573-467-1, Português,http://arquivos.biblioceeteps.com.br/d/2422.jpg?v=200724090830&w=320,4,3,1
P247e,Câmbio,,, Milve Antonio Peria, 252,, Português,http://arquivos.biblioceeteps.com.br/d/33059.jpg?v=201407071206&w=320,4,3,1
P648m,Microeconomics and Decision Models of the Firm,, 1969, Thomas H. Naylor e  John M. Vernon , 482,, Português,http://arquivos.biblioceeteps.com.br/d/37355.jpg?v=201411080922&w=320,4,3,1
P965,Propriedade e Desenvolvimento, Propriedade e Desenvolvimento – Série Pensamentos Liberais Volume XIPropriedade e Desenvolvimento – Série Pensamentos Liberais Volume XI., 2007, Instituto de Estudos Empresariais, 432,, Português,http://arquivos.biblioceeteps.com.br/d/88639.jpg?v=201619041018&w=320,4,3,1
R829i,Introdução à Economia Lirvo de Exercícios, Este livro de exercícios é um complemento do texto 'Introdução à economia'. Os exercícios aqui reunidos compreendem a matéria em toda a sua extensão realçando seus pontos mais importantes e respeitam o rigor terminológico e à precisão conceitual da matéria., 2004, José Paschoal Rossetti, 387, 85-2243-812-9, Português,http://arquivos.biblioceeteps.com.br/d/28949.jpg?v=201409060445&w=320,4,3,1
V331f,Fundamentos de economia,, 2004, Marco Antonio Sandoval de Vasconcellos, 246, 85-0204-309-9, Português,http://arquivos.biblioceeteps.com.br/d/2541.jpg?v=200724091018&w=320,4,3,1
V633i,Introdução à economia," O mercado de trabalho, a despeito da retração nos níveis de emprego em muitas áreas, vem apresentando nos últimos anos necessidades crescentes de profissionais de nível técnico.Ao propiciar a formação desses profissionais, no que se relaciona com o conhecimento econômico, este livro pretende contribuir para atender essas demandas do mercado, uma vez que sua proposta é servir a estudantes, professores e a outros segmentos da população que necessitem de material de apoio e institucional sobre os principais tópicos do estudo inicial da Economia, de forma didática e em linguagem de fácil compreensão.O conteúdo do livro apresenta os principais conceitos econômicos, de forma objetiva e pratica, oferecendo ao leitor uma abordagem que lhe permita compreender as atividades econômicas de produção e consumo, as relações de troca e os indicadores da atividade econômica como um todo. A Micro e a Macro economia, assim como os aspectos focalizados, são apresentadas de forma a proporcionar o entendimento da estrutura na qual operam as empresas e demais organizações econômicas.Os seguintes tópicos básicos são abordados, entre outros: - Visão do ambiente que se desenvolvem as atividades de produção, consumo e troca;- Classificação dos mercados;- Fundamentos de análise de oferta e procura;- A macroeconomia;- Demanda e oferta e procura;- Comércio internacional.", 2003, Sylvia R. Culhari, 94, 85-8573-467-1, Português,http://arquivos.biblioceeteps.com.br/d/2422.jpg?v=200724090830&w=320,4,3,1
H711e,Estatística para economistas," Vale salientar que nesta edição, revista e ampliada, mais exercícios foram acrescentados. Alteração de enorme importância é a inclusão de uma nova seção ao capítulo 21, sobre medidas de pobreza, apresentando o índice de Foster, Greer e Thorbecke.", 1998," Hoffmann, Rodolfo e  Rodolfo", 430, 85-2210-117-5, Português,http://arquivos.biblioceeteps.com.br/d/22661.jpg?v=201406081055&w=320,4,3,1
P648e,Estatística Básica," Totalmente revista e atualizada, Estatística Básica introduz os conceitos básicos de estatística, desenvolvendo a linguagem necessária para o acompanhamento de disciplinas mais especializadas tais como: econometria, estatística econômica, estatística aplicada à administração.", 1987, Wilton de Oliveira Bussab e Pedro Alberto Morettin, 321, 85-7056-716-2, Português,http://arquivos.biblioceeteps.com.br/d/27821.jpg?v=201430050554&w=320,4,3,1
J72m,Métodos Econométricos," O objetivo desta obra é desenvolver uma compreensão geral dos métodos de programação. Por outro lado, todo esforço foi feito para oferecer ao leitor uma exposição clara e simples, exigindo um conhecimento mínimo de matemática.", 1974, J. Johnston, 318,, Português,http://arquivos.biblioceeteps.com.br/d/36748.jpg?v=201406081225&w=320,4,3,1
S193i,Introdução à Análise Econômica,, 1977, Paul Anthony Samuelson, 562,, Português,http://arquivos.biblioceeteps.com.br/d/52827.jpg?v=201528010813&w=320,4,3,1
S951i,Introdução à Economia - Princípios e Ferramentas," Aceitando o desafio de mostrar a relevância do ensino da economia a todos aqueles que estão iniciando nesta área, Introdução à Economia: Princípios e Ferramentas foi escrito por duas grandes autoridades no assunto ? O`Sullivan, da Oregon State University, e Sheffrin, da University of California ? e traz verdadeiras inovações para facilitar o aprendizado dos alunos, estimulando-os e ensinando-lhes como fazer análises econômicas.    Totalmente adaptado aos estudantes brasileiros pela professora Marislei Nishijima, doutora em economia pela FEA-USP e professora da Universidade Mackenzie, este livro visa a identificação entre o que o aluno aprende e sua realidade econômica, além de mostrar as principais diferenças entre as economias do Brasil e dos Estados Unidos ? uma pertencente a um capitalismo plenamente constituído, e a outra, ainda em desenvolvimento ? de maneira clara, precisa e didática.    Fazendo uso dos cinco princípios fundamentais da economia ? princípio marginal, princípio do custo de oportunidade, princípio do valor real, princípio dos retornos decrescentes e princípio da externalidade ?, O`Sullivan e Sheffrin vinculam a eles cada ponto da teoria para explicar a lógica que destaca as ferramentas mais importantes de economia e desmistificá-las.    Fundamentado na `Aprendizagem Ativa`, baseada na idéia de que os alunos aprendem melhor fazendo, Introdução à Economia: Princípios e Ferramentas apresenta vários quadros, como `Detetive econômico`, `Utilizando as ferramentas`, `Experimentos econômicos`, `Teste seu conhecimento` e `Um olhar atento`, permitindo que os próprios alunos realizem atividades de análises econômicas à medida que prosseguem com o estudo do livro-texto.", 2004," Arthur O'Sullivan, Steven Sheffrin e Marislei Nishijima", 471, 85-8791-884-2, Português,http://arquivos.biblioceeteps.com.br/d/4842.jpg?v=201224020407&w=320,4,3,1
H877h,História da Riqueza do Homem," Este livro tem um duplo objetivo. É uma tentativa de explicar a história pela teoria econômica, e a teoria econômica pela história. Essa inter-relação é importante - é necessária. O ensino da história se ressente quando pouca atenção se dispensa ao seu aspecto econômico, e a teoria econômica se torna monótona, quando divorciada de seu fundo histórico. A ""Ciência triste"" continuará triste, enquanto ensinada e estudada num vácuo histórico. A lei da renda de Ricardo é, em si, difícil e insípida. Mas situada em seu contexto histórico, vista como uma batalha na luta entre proprietárias de terras e industriais, na Inglaterra do início do século XIX, ela se tornará animada e significativa.", 1981, Leo Huberman, 318,, Português,http://arquivos.biblioceeteps.com.br/d/36906.jpg?v=201407080220&w=320,4,3,1
H939h,História do pensamento econômico," A partir de uma abordagem assumidamente crítica, o autor faz o percurso tradicional da 'evolução' das idéias econômicas desde o founding father da disciplina (Adam Smith) até as contribuições ditas heterodoxas mais recentes, dos pós-keynesianos e neo-institucionalistas. Neste longo caminho, Hunt argumenta, de forma convincente, que a Economia não é - e jamais foi - uma disciplina livre de valores, digam eles respeito às relações de classe, à distribuição de renda ou à natureza e ao papel do Estado, por exemplo. Sem esconder a sua simpatia pelos autores na tradição da economia política 'radical', Hunt, ainda assim, dá o espaço devido para um tratamento detalhado, ainda que não-técnico, das origens e desenvolvimento do paradigma neoclássico, que vem dominando o modo de fazer e pensar Economia nos últimos 100 anos. Quer se concorde ou não com o julgamento que o autor faz do caminho percorrido pela disciplina desde Smith, não se pode deixar de louvar o fato de que seus argumentos são apresentados dentro do contexto histórico e institucional relevante, lembrando que as idéias (econômicas ou não) não surgem, se firmam ou perdem espaço em um vazio a-histórico.", 1989," Hunt, E. K. e  E. K.", 541,,,http://arquivos.biblioceeteps.com.br/d/23043.jpg?v=201421050356&w=320,4,3,1
H945h,História do pensamento econômico," A partir de uma abordagem assumidamente crítica, o autor faz o percurso tradicional da 'evolução' das idéias econômicas desde o founding father da disciplina (Adam Smith) até as contribuições ditas heterodoxas mais recentes, dos pós-keynesianos e neo-institucionalistas. Neste longo caminho, Hunt argumenta, de forma convincente, que a Economia não é - e jamais foi - uma disciplina livre de valores, digam eles respeito às relações de classe, à distribuição de renda ou à natureza e ao papel do Estado, por exemplo. Sem esconder a sua simpatia pelos autores na tradição da economia política 'radical', Hunt, ainda assim, dá o espaço devido para um tratamento detalhado, ainda que não-técnico, das origens e desenvolvimento do paradigma neoclássico, que vem dominando o modo de fazer e pensar Economia nos últimos 100 anos. Quer se concorde ou não com o julgamento que o autor faz do caminho percorrido pela disciplina desde Smith, não se pode deixar de louvar o fato de que seus argumentos são apresentados dentro do contexto histórico e institucional relevante, lembrando que as idéias (econômicas ou não) não surgem, se firmam ou perdem espaço em um vazio a-histórico.", 1989," Hunt, E. K. e  E. K.", 541,,,http://arquivos.biblioceeteps.com.br/d/23043.jpg?v=201421050356&w=320,4,3,1
O81h,História do pensamento econômico," A partir de uma abordagem assumidamente crítica, o autor faz o percurso tradicional da 'evolução' das idéias econômicas desde o founding father da disciplina (Adam Smith) até as contribuições ditas heterodoxas mais recentes, dos pós-keynesianos e neo-institucionalistas. Neste longo caminho, Hunt argumenta, de forma convincente, que a Economia não é - e jamais foi - uma disciplina livre de valores, digam eles respeito às relações de classe, à distribuição de renda ou à natureza e ao papel do Estado, por exemplo. Sem esconder a sua simpatia pelos autores na tradição da economia política 'radical', Hunt, ainda assim, dá o espaço devido para um tratamento detalhado, ainda que não-técnico, das origens e desenvolvimento do paradigma neoclássico, que vem dominando o modo de fazer e pensar Economia nos últimos 100 anos. Quer se concorde ou não com o julgamento que o autor faz do caminho percorrido pela disciplina desde Smith, não se pode deixar de louvar o fato de que seus argumentos são apresentados dentro do contexto histórico e institucional relevante, lembrando que as idéias (econômicas ou não) não surgem, se firmam ou perdem espaço em um vazio a-histórico.", 1989," Hunt, E. K. e  E. K.", 541,,,http://arquivos.biblioceeteps.com.br/d/23043.jpg?v=201421050356&w=320,4,3,1
A182t,Teoria Macroeconômia,, 1969, Gardner Ackley, 326,, Português,http://arquivos.biblioceeteps.com.br/d/68805.jpg?v=201521071004&w=320,4,3,1
C117m,Microeconomics and Decision Models of the Firm,, 1969, Thomas H. Naylor e  John M. Vernon , 482,, Português,http://arquivos.biblioceeteps.com.br/d/37355.jpg?v=201411080922&w=320,4,3,1
F352m,Microeconomics and Decision Models of the Firm,, 1969, Thomas H. Naylor e  John M. Vernon , 482,, Português,http://arquivos.biblioceeteps.com.br/d/37355.jpg?v=201411080922&w=320,4,3,1
F627e,Economia para Leigos," Neste livro o leitor encontrará importantes teorias econômicas, hipóteses e descobertas. Entre os tópicos abordados estão - Como e por que o comércio internacional é bom para todos; Por que direitos de propriedade mal concebidos são responsáveis pelos problemas ambientais, como aquecimento global, poluição e espécies em extinção; Como o lucro guia as empresas a produzir os bens e serviços que tomamos por concessão; Por que as empresas competitivas são, quase sempre, melhores para a sociedade do que os monopólios; Como a Reserva Federal2 (Federal Reserve) controla o abastecimento de dinheiro, taxas de juros e inflação ao mesmo tempo; Por que as políticas governamentais, como o controle de preços e os subsídios, geralmente causam muito mais mal que bem; Como o simples modelo de oferta e procura pode explicar os preços de todas as coisas, desde histórias em quadrinhos até cirurgias cardiovasculares.", 2012, Peter Antonioni e Sean Masaki Flynn, 392, 978-85-7608-643-7, Português,http://arquivos.biblioceeteps.com.br/d/16266.jpg?v=201517090549&w=320,4,3,1
G148e,A Economia Ao Alcance de Quase Todos," Quando se coloca GALBRAITH, não só um renomado economista, mas um cientista inteligente e eclético, face a face com uma persistente jornalista francesa, que diz nada entender de economia -- mas que deseja aprender -- algo acontece: uma brilhante introdução a mais importante das ciências sociais -- pelo que afeta a vida de todas as pessoas.", 1981, John K. Galbraith e Nicole Salinger, 152,, Português,http://arquivos.biblioceeteps.com.br/d/36772.jpg?v=201406080240&w=320,4,3,1
S193e,Câmbio,,, Milve Antonio Peria, 252,, Português,http://arquivos.biblioceeteps.com.br/d/33059.jpg?v=201407071206&w=320,4,3,1
S529m,Macroeconomic analysis," A balanced coverage of the essentials of macroeconomic measurement, theory, and policy.", 1970," Shapiro, Edward e  Edward", 591, 01-5551-202-1, Inglês,,4,3,1
B748f,Do Fordismo à Produção Flexível," O objetivo do trabalho é o de examinar a intrincada rede de relações entre o espaço e as estratégias de produção e reprodução do capital, num contexto de transformação dessas estratégias. O espaço é considerado como um produto, mas por outro lado, também é aqui tomado como produtivo. Buscou-se, então, detectar quais são as principais mudanças (políticas, sociais, econômicas e espaciais) que ocorrem na passagem das estratégias fordistas de reprodução e acumulação do capital para as ligadas à produção flexível. E como essa passagem altera os fatores de localização industrial no território, além da própria organização das indústrias. Foi, portanto, feito um estudo de como o espaço da indústria se reorganiza a partir das transformações nas estratégias de reprodução do capital e a partir das relações deste com o Estado - dando destaque para a idéia a crescente importância do fundo público -, com o trabalho e com o espaço. Nesse processo, foi dado destaque ao estudo da indústria automobilística no Brasil, pois ela seria um exemplo paradigmático das recentes transformações no capitalismo contemporâneo, e, dada a sua importância e influência no Brasil, também um exemplo de como o espaço geográfico é produzido e reestruturado a partir de tais transformações. Para a viabilização do presente trabalho foi feita uma revisão bibliográfica de parte da literatura disponível sobre o tema, um levantamento de dados em fontes apropriadas e foram realizadas entrevistas com representantes e funcionários da Volkswagen do Brasil e com membros do Sindicato dos Metalúrgicos do ABC.", 2008, Adriano Botelho, 170, 978-85-7419-898-9, Português,http://arquivos.biblioceeteps.com.br/d/101545.jpg?v=201607100406&w=320,4,3,1
F911L,Liberdade de Escolher," Clássico entre os clássicos, Liberdade para Escolher é um dos livros de economia mais influentes do século xx. Publicado nos inícios dos anos 80, e corolário de uma escola de pensamento nascida duas décadas antes em Chicago, a obra de Milton e Rose Friedman postula como princípio básico a eficácia dos mercados livres. Para os autores, a economia e a liberdade estão intrinsecamente ligadas, pelo que o intervencionismo governamental deve ser reduzido ao mínimo. As teorias de ambos - que abarcam desde a redução da despesa estatal a políticas monetárias e sociais (educação, desemprego) - foram determinantes no nascimento do modelo económico hoje vigente. Mas até que ponto os autores foram bem interpretados? E em que medida a aplicação prática das suas teorias foi determinante para o modo como a economia mundial evoluiu nos últimos 30 anos? Para perceber o mundo de hoje temos de voltar atrás. E temos de reler, com atenção, a obra que para todos os efeitos mudou o curso da economia planetária.", 1980, Milton Friedman e Rose Friedman, 317,, Português,http://arquivos.biblioceeteps.com.br/d/36774.jpg?v=201406080249&w=320,4,3,1
D632e,A Evolução do Capitalismo," Este livro consiste em uma análise da evolução capitalista por meio da economia. O autor parte de fatos históricos para fazer a análise desde o surgimento do capitalismo, trata desde o fim do feudalismo, do crescimento das cidades, o aparecimento da burguesia, o mercantilismo, ascensão do capital, a acumulação capitalista, a revolução industrial, o crescimento da classe operária ao período da Primeira e Segunda Guerras Mundiais e até o período pós-guerras.", 1986," Dobb, Maurice Herbert", 284,, Português,http://arquivos.biblioceeteps.com.br/d/36760.jpg?v=201406080156&w=320,4,3,1
M392s,Salário Preço e Lucro," Esta é uma obra de disputa teórica no seio do movimento operário internacional, onde pela primeira vez Marx expõe os elementos essenciais para a construção da teoria da mais-valia.", 1990,  	Karl Marx , 91,, Português,http://arquivos.biblioceeteps.com.br/d/39843.jpg?v=201428080711&w=320,4,3,1
D794s,Sociedade Pós-capitalista," Em Sociedade Pós-Capitalista, Peter Drucker descreve como a cada uma ou duas centenas de anos ocorreu uma transformação aguda, que afetou grandemente a sociedade – sua visão do mundo, seus valores básicos, suas empresas e sua economia, e sua estrutura política e social. De acordo com Drucker, estamos agora atravessando outra época de mudanças radicais, da Era do Capitalismo e da Nação-Estado para uma Sociedade do Conhecimento e uma Sociedade de Organizações. O principal recurso na sociedade pós-capitalista será o conhecimento e os grupos sociais mais importantes serão constituídos pelos “trabalhadores do conhecimento”.Examinando passado e futuro, Drucker discute a Revolução Industrial, a Revolução da Produtividade, a Revolução Gerencial e o controle das corporações. Ele explica as novas funções das organizações, a economia do conhecimento e a produtividade como prioridade social e econômica. Analisa a transformação da Nação-Estado em Megaestado, o novo pluralismo dos sistemas políticos e a necessária reformulação do governo. Finalmente, Drucker detalha as questões do conhecimento e o uso e o papel do conhecimento na sociedade pós-capitalista.Dividido em três partes – Sociedade, Governo e Conhecimento – Sociedade Pós-Capitalista provê um exame do futuro bem como uma análise vital do passado, focalizando os desafios do presente período de transição e como poderemos, caso consigamos compreendê-los e supera-los, criar um novo futuro”.", 1999, Peter Ferdinand Drucker, 211, 85-2210-119-1, Português,http://arquivos.biblioceeteps.com.br/d/18495.jpg?v=201418030459&w=320,4,3,1
G887t,10 Lessons from the Future:,, 2001, Wolfgang  Grulke, 211, 02-7365-329-6, Inglês,http://arquivos.biblioceeteps.com.br/d/95923.jpg?v=201615080852&w=320,4,3,1
L799h,História Econômica e Geral e do Brasil,, 1977, Roberto Jorge Haddock Lobo , 385,, Português,http://arquivos.biblioceeteps.com.br/d/39839.jpg?v=201428080551&w=320,4,3,1
N158p,Paradoxo global," Best-seller internacional que oferece um vislumbre do futuro a curto prazo - os prováveis vencedores e perdedores no mercado global, os setores de crescimento e de estagnação na economia mundial, as novas regras que, em breve, determinarão os padroes de conduta política e empresarial em todos os pontos do globo. John Naisbitt, considerado o principal analista de tendências do mundo, constrói um poderoso instrumento de compreensão, a partir desse insight profundo e vital e analisa a revolução nas telecomunicações, a indústria do turismo, a China, a Asia e América Latina. O Brasil é destacado especialmente em seu prefácio à edição brasileira.", 1999," Naisbitt, John e  John", 333, 85-7001-885-1, Português,http://arquivos.biblioceeteps.com.br/d/23053.jpg?v=201421050407&w=320,4,3,1
O38fe,O Fim do Estado-nação," Para o renomado estrategista japonês Kenichi Ohmae, o Estado-nação é coisa do passado. Nesse mundo sem fronteiras, ele ja perdeu seu papel como protagonista da economia global e seu poder foi usurpado pela confluência de quatro forças - o capital, as corporações, os consumidores e as comunicações. No lugar das grandes nações, os Estados-regiões - ""unidades de negócios"" com excelência na produção - emergem como a nova força da geopolítica mundial, substituindo o papel do velho Estado na melhoria da qualidade de vida da população. Como declarou Robert L. Bartley, editor do Wall Street Journal, ""Ken Ohmae imprimiu sua marca à ideia de que a era da informação exercerá um grande impacto não apenas nos negócios, mas no estilo da política internacional. Se a Guerra Fria terminou e o dinheiro flui em todo mundo além do alcance dos governos, quem, afinal, precisa do Estado-nação? Ousado enunciado de uma tese polêmica"".", 1999, Kenichi Ohmae, 214, 85-7402-141-5, Português,http://arquivos.biblioceeteps.com.br/d/27817.jpg?v=201430050527&w=320,4,3,1
